"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿",20,5300000,"",135,"","","",110,"1985年","木造","","","南","公道",6,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)","30分～60分",17000000,"",165,"","","",95,"2012年","木造","","","西","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","伊保東","伊保",10,12000000,"",250,"","","",160,"1988年","木造","","","","","","１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中島","宝殿",25,4000000,"",130,"","","",65,"1976年","木造","","","北東","公道",4,"１中住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","神爪","宝殿",10,5500000,"",80,"","","",55,"1970年","木造","","","南西","公道",6,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",5,7300000,"",115,"","","",140,"1982年","木造","","","","","","２種住居","","","2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿",25,22000000,"",195,"","","",130,"2009年","木造","","","","","","１低住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","宝殿","30分～60分",7800000,"",135,"","","",85,"1984年","木造","","","","",4.8,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",15,12000000,"",170,"","","",165,"1991年","木造","","","","公道",6,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)","30分～60分",17000000,"",165,"","","",95,"2012年","木造","","","西","公道",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中島","宝殿",25,6800000,"",120,"","","",95,"1984年","木造","","","北","公道",4.7,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28216","兵庫県","高砂市","中島","伊保",20,26000000,"",130,"","","",95,"2005年","木造","","","西","公道",6,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",1,7300000,"",115,"","不整形",8,140,"1982年","木造","住宅、店舗","住宅","北東","市道",7.4,"２種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",3,7700000,"",120,"","不整形",12.5,135,"1973年","木造","共同住宅","住宅","南東","道路",4,"２種住居",60,200,"2025年第1四半期","私道を含む取引"
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",6,25000000,190000,420,59000,"ほぼ長方形",17.4,"","","","","倉庫","北東","国道",12.5,"準住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀","曽根(兵庫)",6,15000000,"",250,"","不整形",24.6,130,"1998年","木造","住宅、店舗","倉庫","北東","国道",12.5,"準住居",60,200,"2024年第4四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)","30分～60分",20000000,"",135,"","不整形",9.3,100,"2023年","木造","住宅","住宅","北東","市道",4.7,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",18,2500000,"",80,"","長方形",8,60,"1976年","木造","住宅","住宅","南","市道",6,"１中住専",60,150,"2025年第3四半期",""
"宅地(土地と建物)","不動産取引価格情報","商業地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",25,8200000,"",220,"","不整形",13,50,"2009年","軽量鉄骨造","作業場","倉庫","南西","国道",12.6,"準住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",16,43000000,"",1700,"","ほぼ長方形",12.2,270,"1986年","木造","住宅","住宅","南","市道",6.2,"調整区域",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",16,2000000,"",460,"","ほぼ正方形",16.9,30,"1986年","木造","事務所","事務所","南","市道",6.2,"調整区域",60,200,"2025年第2四半期",""
"宅地(土地と建物)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",25,600000,"",100,"","ほぼ長方形",2.8,50,"1984年","軽量鉄骨造","倉庫","その他","西","市道",6,"調整区域",60,200,"2025年第2四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",23,7600000,21000,1200,6500,"長方形",15,"","","","","","南","市道",5.9,"調整区域",60,200,"2025年第1四半期",""
"宅地(土地)","不動産取引価格情報","住宅地","28216","兵庫県","高砂市","阿弥陀町","曽根(兵庫)",25,13000000,290000,140,89000,"長方形",15,"","","","","住宅","東","市道",6,"１中住専",60,150,"2025年第1四半期",""
