市,種別,価格（万円）,間取り,専有面積（㎡）,土地面積（㎡）,建物面積（㎡）,築年月,交通,所在地,物件名,URL
明石市,マンション,980.0,3LDK,67.2,,,1979年3月,山陽電鉄本線「西新町」徒歩7分,兵庫県明石市樽屋町18-7,サニーハウス明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20008572/
明石市,マンション,980.0,3LDK,60.5,,,1981年2月,ＪＲ山陽本線「明石」徒歩14分,兵庫県明石市茶園場町,藤和明石公園ハイタウン壱号棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79174491/
明石市,マンション,980.0,3LDK,73.6,,,1989年10月,ＪＲ山陽本線「朝霧」バス10分停歩7分,兵庫県明石市東山町,サンシティ朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77859274/
明石市,マンション,980.0,3LDK,64.41,,,1985年11月,山陽電鉄本線「林崎松江海岸」徒歩9分,兵庫県明石市宮の上,コンフォート明石宮の上,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78979350/
明石市,マンション,980.0,3LDK,63.26,,,1995年3月,ＪＲ山陽本線「朝霧」徒歩24分,兵庫県明石市東山町,ライオンズマンション朝霧北,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77579218/
明石市,マンション,980.0,3LDK,56.81,,,2002年2月,ＪＲ山陽本線「土山」徒歩25分,兵庫県明石市魚住町清水,グランプレステージ明石西Ⅲ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20249802/
明石市,マンション,980.0,3LDK,67.6,,,1987年4月,ＪＲ山陽本線「魚住」徒歩6分,兵庫県明石市魚住町鴨池,ユニライフ明石魚住,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78730423/
明石市,マンション,980.0,3LDK,75.11,,,1996年12月,山陽電鉄本線「東二見」徒歩12分,兵庫県明石市二見町東二見,グランプレステージ明石西Ⅱ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20267001/
明石市,マンション,990.0,3LDK,69.12,,,1984年1月,ＪＲ山陽本線「西明石」徒歩21分,兵庫県明石市明南町２,明南住宅２号棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78227067/
明石市,マンション,1000.0,3LDK,55.18,,,1994年1月,山陽電鉄本線「中八木」徒歩3分,兵庫県明石市大久保町谷八木,プレステージ南大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77231945/
明石市,マンション,1050.0,2LDK+S（納戸）,71.85,,,1997年2月,山陽電鉄本線「西江井ケ島」徒歩5分,兵庫県明石市大久保町西島,アルファステイツ明石大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78471673/
明石市,マンション,1070.0,2LDK+S（納戸）,64.39,,,2000年6月,ＪＲ山陽本線「土山」徒歩17分,兵庫県明石市二見町福里,グランプレステージ明石魚住,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78608417/
明石市,マンション,1080.0,3LDK,73.37,,,1979年8月,ＪＲ山陽本線「西明石」徒歩7分,兵庫県明石市野々上３-14-12,シャトー西明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78861461/
明石市,マンション,1080.0,3LDK,67.37,,,1997年8月,山陽電鉄本線「東二見」徒歩7分,兵庫県明石市二見町東二見,マーレ明石東二見サティスコート,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20068879/
明石市,マンション,1080.0,4LDK,82.68,,,1976年9月,ＪＲ山陽本線「西明石」徒歩20分,兵庫県明石市和坂１,シャルマンコーポ明石　３号棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79117549/
明石市,マンション,1098.0,3LDK,57.87,,,1997年11月,山陽電鉄本線「江井ケ島」徒歩13分,兵庫県明石市大久保町西島,プレステージ明石大久保Ｖ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_76490548/
明石市,マンション,1098.0,3LDK,55.42,,,1997年11月,山陽電鉄本線「江井ケ島」徒歩12分,兵庫県明石市大久保町西島,プレステージ明石大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_75179331/
明石市,マンション,1100.0,2LDK+S（納戸）,59.62,,,1996年11月,ＪＲ山陽本線「大久保」徒歩10分,兵庫県明石市大久保町大窪,ピュアハイツ明石大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77028178/
明石市,マンション,1100.0,3LDK,70.2,,,1992年2月,ＪＲ山陽本線「明石」バス10分停歩5分,兵庫県明石市松が丘北町,パレス朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79099192/
明石市,マンション,1130.0,3LDK,60.94,,,1996年12月,ＪＲ山陽本線「魚住」徒歩9分,兵庫県明石市魚住町清水100,プレステージ明石魚住VI,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20143362/
明石市,マンション,1130.0,3LDK,67.2,,,1979年3月,山陽電鉄本線「西新町」徒歩7分,兵庫県明石市樽屋町,サニーハウス明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20176227/
明石市,マンション,1150.0,3LDK,53.9,,,1988年3月,ＪＲ山陽本線「明石」バス22分停歩4分,兵庫県明石市朝霧北町3777-9,ベルヴィル朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78512598/
明石市,マンション,1180.0,3LDK,65.3,,,1995年3月,山陽電鉄本線「江井ケ島」徒歩7分,兵庫県明石市大久保町西島,リベール明石江井ヶ島Ⅰ,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20149166/
明石市,マンション,1180.0,1LDK,65.2,,,1991年3月,ＪＲ山陽本線「土山」徒歩14分,兵庫県明石市魚住町清水,プルミエール明石ウエスト,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_78687659/
明石市,マンション,1180.0,5LDK,99.18,,,1987年2月,ＪＲ山陽本線「明石」バス15分停歩5分,兵庫県明石市北朝霧丘１,【ペット飼育可能な広々5LDKの間取り♪】メゾンドー…,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20272729/
明石市,マンション,1180.0,3LDK,56.6,,,1995年9月,ＪＲ山陽本線「土山」徒歩19分,兵庫県明石市魚住町清水,プレステージ明石魚住Ⅲ　1180万円,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79004396/
明石市,マンション,1180.0,1LDK,60.93,,,1989年3月,ＪＲ山陽本線「土山」徒歩5分,兵庫県明石市二見町西二見,明石土山スカイハイツD棟,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77998143/
明石市,マンション,1180.0,3LDK,61.92,,,1994年12月,山陽電鉄本線「藤江」徒歩15分,兵庫県明石市大久保町谷八木,グランプレステージ西明石,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79228326/
明石市,マンション,1190.0,3LDK,65.19,,,1999年2月,ＪＲ山陽本線「土山」徒歩10分,兵庫県明石市二見町西二見,サーパス明石土山第２,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77832475/
明石市,マンション,1199.0,3DK,58.32,,,1978年8月,ＪＲ山陽本線「明石」徒歩4分,兵庫県明石市大明石町１,ルモン明石公園,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79103320/
明石市,マンション,1200.0,3LDK,69.81,,,1996年8月,ＪＲ山陽本線「大久保」徒歩10分,兵庫県明石市大久保町大久保町,マーレ明石・大久保,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20058059/
明石市,マンション,1230.0,3LDK,71.28,,,2001年3月,山陽電鉄本線「西江井ケ島」徒歩2分,兵庫県明石市大久保町西島,リベール明石西江井ヶ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20206208/
明石市,マンション,1230.0,2LDK,60.24,,,1978年10月,山陽電鉄本線「大蔵谷」徒歩5分,兵庫県明石市東野町,【海・明石海峡大橋を一望】カサベラ大蔵谷,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20272447/
明石市,マンション,1230.0,3LDK,71.28,,,2001年3月,山陽電鉄本線「西江井ケ島」徒歩2分,兵庫県明石市大久保町西島,リベール明石西江井ヶ島,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_77857330/
明石市,マンション,1230.0,3LDK,66.58,,,1989年10月,ＪＲ山陽本線「明石」バス26分停歩7分,兵庫県明石市東山町1099-1,サンシティ朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79229579/
明石市,マンション,1240.0,3LDK,62.4,,,2000年2月,山陽電鉄本線「東二見」徒歩10分,兵庫県明石市二見町東二見,ライオンズマンション明石海浜公園,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_79225319/
明石市,マンション,1270.0,3LDK,77.7,,,1989年10月,ＪＲ山陽本線「朝霧」バス10分停歩7分,兵庫県明石市東山町,サンシティ朝霧,https://suumo.jp/ms/chuko/hyogo/sc_akashi/nc_20022791/
