"種類","価格情報区分","地域","市区町村コード","都道府県名","市区町村名","地区名","最寄駅：名称","最寄駅：距離（分）","取引価格（総額）","坪単価","面積（㎡）","取引価格（㎡単価）","土地の形状","間口","延床面積（㎡）","建築年","建物の構造","用途","今後の利用目的","前面道路：方位","前面道路：種類","前面道路：幅員（ｍ）","都市計画","建ぺい率（％）","容積率（％）","取引時期","取引の事情等"
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,9000000,"",175,"","","",105,"1992年","木造","","","西","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川","",24000000,"",355,"","","",185,"1996年","木造","","","西","公道",3,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","30分～60分",3500000,"",150,"","","",130,"1973年","木造","","","","","","準工業",60,160,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,19000000,"",170,"","","",150,"2000年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,4800000,"",90,"","","",80,"1978年","木造","","","南","私道",4.7,"工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","",24000000,"",135,"","","",115,"2005年","木造","","","北東","公道",5.3,"２低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","別府(兵庫)",15,25000000,"",195,"","","",130,"1995年","木造","","","西","公道",5.5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","志方町","宝殿","",15000000,"",735,"","","",170,"1988年","木造","","","北西","",3,"１低住専",50,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","志方町","宝殿","",17000000,"",205,"","","",95,"2009年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",25,4800000,"",100,"","","",90,"1988年","木造","","","","",4,"１種住居",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",20,25000000,"",130,"","","",100,"2025年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川","30分～60分",12000000,"",135,"","","",110,"1994年","木造","","","南西","公道",5.4,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,6000000,"",155,"","","",140,"1991年","木造","","","","公道",6.3,"工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,30000000,"",150,"","","",110,"2024年","木造","","","南東","公道",6.2,"２低住専",70,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",20,15000000,"",130,"","","",120,"1998年","木造","","","","公道","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,29000000,"",135,"","","",95,"2025年","木造","","","北","公道",4,"１中住専",60,160,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川","",22000000,"",105,"","","",100,"2021年","木造","","","","","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",20,43000000,"",140,"","","",105,"2023年","木造","","","","公道",5.2,"２種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮","",4000000,"",125,"","","",85,"1983年","木造","","","","","","１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮",25,20000000,"",155,"","","",105,"2015年","木造","","","南東","公道",7,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,5000000,"",115,"","","",90,"1989年","木造","","","","",4,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮",20,4300000,"",90,"","","",60,"1978年","木造","","","","",5,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","新神野","神野",15,4200000,"",115,"","","",85,"1971年","ＲＣ","","","北","公道",18,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","新神野","神野",15,24000000,"",120,"","","",100,"2025年","木造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","新神野","神野",15,23000000,"",120,"","","",95,"2025年","木造","","","","","","１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","新神野","神野",5,29000000,"",295,"","","",240,"2000年","軽量鉄骨造","","","","",7.1,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮","",22000000,"",115,"","","",100,"2025年","木造","","","北東","公道",4.1,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,25000000,"",125,"","","",95,"2025年","木造","","","西","公道",4,"１中住専",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","",24000000,"",145,"","","",105,"2025年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","",29000000,"",150,"","","",100,"2025年","木造","","","北","公道",4.4,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川","",27000000,"",150,"","","",100,"2025年","木造","","","東","公道",4.1,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","浜の宮",25,4100000,"",80,"","","",70,"1978年","木造","","","","",4.1,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,20000000,"",105,"","","",110,"2013年","木造","","","","",5,"準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",20,17000000,"",140,"","","",100,"2014年","木造","","","","",6,"準工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","別府(兵庫)",20,20000000,"",105,"","","",80,"2024年","木造","","","南西","公道",4.8,"１低住専",50,100,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",25,7000000,"",110,"","","",70,"1997年","木造","","","北西","",8.5,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","加古川",25,17000000,"",165,"","","",95,"1989年","木造","","","","",3.5,"１種住居",60,160,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町","東加古川",25,16000000,"",135,"","","",85,"2009年","木造","","","","","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","野口町坂元北","加古川","",28000000,"",140,"","","",120,"2012年","木造","","","","",6,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",20,25000000,"",140,"","","",100,"2024年","木造","","","南西","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",20,26000000,"",145,"","","",100,"2024年","木造","","","南西","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","","",13000000,"",120,"","","",115,"2000年","木造","","","西","公道",4.6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,7000000,"",100,"","","",90,"1979年","木造","","","北","公道",15,"１種住居",70,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","加古川",25,16000000,"",150,"","","",125,"1993年","軽量鉄骨造","","","北西","公道",5,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,15000000,"",115,"","","",95,"2010年","木造","","","北","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,25000000,"",155,"","","",110,"2025年","木造","","","","","","１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",10,32000000,"",145,"","","",100,"2022年","木造","","","南西","公道",6,"工業",70,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,14000000,"",110,"","","",90,"1999年","木造","","","南","公道",5,"２種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,5400000,"",220,"","","",80,"1979年","軽量鉄骨造","","","南東","私道",2.4,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","加古川","30分～60分",23000000,"",150,"","","",95,"2014年","木造","","","","",6,"準工業",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松","",23000000,"",150,"","","",100,"2025年","木造","","","北","公道",4,"１種住居",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",10,12000000,"",220,"","","",105,"1990年","木造","","","","",6.2,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","西神吉町","宝殿",20,9800000,"",230,"","","",110,"1992年","木造","","","","公道","","１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","西神吉町","宝殿",20,29000000,"",150,"","","",105,"2025年","木造","","","北","公道",4.4,"１低住専",60,150,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","東神吉町","宝殿",15,15000000,"",150,"","","",110,"1986年","木造","","","","",5,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","東神吉町","宝殿",25,10000000,"",145,"","","",100,"1987年","木造","","","","公道",6,"１中住専",60,200,"2025年第1四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",15,5700000,"",105,"","","",75,"1983年","木造","","","","",4.2,"１中住専",60,168,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,17000000,"",115,"","","",95,"2005年","木造","","","","","","工業",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",15,3800000,"",120,"","","",85,"1983年","木造","","","南東","公道",2.7,"１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",10,6500000,"",145,"","","",110,"1984年","軽量鉄骨造","","","北","公道","","１種住居",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",15,12000000,"",110,"","","",155,"1993年","軽量鉄骨造","","","北東","公道",6.3,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,13000000,"",280,"","","",140,"1998年","木造","","","","","","１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",20,15000000,"",150,"","","",100,"2005年","木造","","","","",6,"１種住居",70,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","西神吉町","宝殿",20,5300000,"",115,"","","",105,"1978年","木造","","","","",4.3,"１低住専",60,150,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","東神吉町","加古川","",24000000,"",140,"","","",110,"2025年","木造","","","北西","公道",6.3,"１中住専",60,200,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","東神吉町","宝殿",20,27000000,"",180,"","","",100,"2025年","木造","","","北","公道",1.7,"１低住専",50,100,"2025年第2四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",5,24000000,"",135,"","","",105,"2000年","木造","","","南","公道",5.3,"１中住専",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",15,34000000,"",150,"","","",105,"2020年","軽量鉄骨造","","","","公道","","１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",20,4900000,"",105,"","","",90,"1987年","木造","","","","",5.4,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,25000000,"",140,"","","",105,"2020年","木造","","","南西","公道",6,"工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,2700000,"",85,"","","",75,"1978年","木造","","","","",4.4,"工業",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","浜の宮",20,32000000,"",170,"","","",110,"2025年","木造","","","東","公道",6.4,"１種住居",60,200,"2025年第3四半期",""
"宅地(土地と建物)","成約価格情報","","28210","兵庫県","加古川市","尾上町","尾上の松",15,21000000,"",125,"","","",105,"2011年","木造","","","","",6,"工業",60,200,"2025年第3四半期",""
