市,取引価格（万円）,種別,価格区分,建築年,延床面積（㎡）,面積（㎡）,地区名,取引時期
加古川市,990.0,戸建て,成約価格情報,1986年,120.0,175.0,尾上町,2024年第4四半期
加古川市,2800.0,戸建て,成約価格情報,2010年,115.0,170.0,尾上町,2024年第4四半期
加古川市,2300.0,戸建て,成約価格情報,2017年,100.0,120.0,尾上町,2024年第4四半期
加古川市,4000.0,戸建て,成約価格情報,2024年,115.0,145.0,尾上町,2024年第4四半期
加古川市,1300.0,戸建て,成約価格情報,1995年,80.0,110.0,尾上町,2024年第4四半期
加古川市,3700.0,戸建て,成約価格情報,2024年,105.0,140.0,尾上町,2024年第4四半期
加古川市,480.0,戸建て,成約価格情報,1977年,75.0,105.0,尾上町,2024年第4四半期
加古川市,580.0,戸建て,成約価格情報,1984年,85.0,105.0,尾上町,2024年第4四半期
加古川市,2000.0,戸建て,成約価格情報,1993年,145.0,225.0,尾上町,2024年第4四半期
加古川市,2400.0,戸建て,成約価格情報,2006年,140.0,195.0,尾上町,2024年第4四半期
加古川市,1400.0,戸建て,成約価格情報,1990年,130.0,190.0,西神吉町,2024年第4四半期
加古川市,780.0,戸建て,成約価格情報,2004年,75.0,80.0,東神吉町,2024年第4四半期
加古川市,1900.0,戸建て,成約価格情報,1995年,100.0,260.0,東神吉町,2024年第4四半期
加古川市,300.0,戸建て,成約価格情報,1976年,65.0,100.0,東神吉町,2024年第4四半期
加古川市,3300.0,戸建て,成約価格情報,,100.0,115.0,加古川町,2024年第4四半期
加古川市,3000.0,戸建て,成約価格情報,,100.0,115.0,加古川町,2024年第4四半期
加古川市,2000.0,戸建て,成約価格情報,2022年,100.0,150.0,加古川町,2024年第4四半期
加古川市,1400.0,戸建て,成約価格情報,1986年,85.0,135.0,加古川町,2024年第4四半期
加古川市,1500.0,戸建て,成約価格情報,1999年,105.0,140.0,加古川町,2024年第4四半期
加古川市,2400.0,戸建て,成約価格情報,2024年,95.0,115.0,加古川町,2024年第4四半期
加古川市,1500.0,戸建て,成約価格情報,2002年,95.0,120.0,加古川町,2024年第4四半期
加古川市,2400.0,戸建て,成約価格情報,2004年,125.0,140.0,加古川町,2024年第4四半期
加古川市,300.0,戸建て,成約価格情報,,85.0,100.0,加古川町,2024年第4四半期
加古川市,700.0,戸建て,成約価格情報,1998年,90.0,135.0,加古川町,2024年第4四半期
加古川市,690.0,戸建て,成約価格情報,1976年,75.0,105.0,加古川町,2024年第4四半期
加古川市,3200.0,戸建て,成約価格情報,2000年,175.0,210.0,加古川町,2024年第4四半期
加古川市,1200.0,戸建て,成約価格情報,1990年,125.0,255.0,加古川町,2024年第4四半期
加古川市,1600.0,戸建て,成約価格情報,2013年,100.0,140.0,加古川町,2024年第4四半期
加古川市,2800.0,戸建て,成約価格情報,2017年,110.0,150.0,加古川町,2024年第4四半期
加古川市,780.0,戸建て,成約価格情報,1987年,140.0,165.0,米田町,2024年第4四半期
加古川市,170.0,戸建て,成約価格情報,1966年,25.0,55.0,米田町,2024年第4四半期
加古川市,2700.0,戸建て,成約価格情報,2016年,110.0,135.0,米田町,2024年第4四半期
加古川市,900.0,戸建て,成約価格情報,1997年,105.0,135.0,神野町,2024年第4四半期
加古川市,2500.0,戸建て,成約価格情報,2015年,100.0,120.0,平岡町,2024年第4四半期
加古川市,3100.0,戸建て,成約価格情報,2008年,130.0,385.0,平岡町,2024年第4四半期
加古川市,730.0,戸建て,成約価格情報,1982年,95.0,120.0,平岡町,2024年第4四半期
加古川市,550.0,戸建て,成約価格情報,1977年,60.0,75.0,平岡町,2024年第4四半期
加古川市,1300.0,戸建て,成約価格情報,1994年,95.0,110.0,平岡町,2024年第4四半期
加古川市,750.0,戸建て,成約価格情報,1992年,150.0,135.0,平岡町,2024年第4四半期
加古川市,2700.0,戸建て,成約価格情報,,100.0,95.0,別府町,2024年第4四半期
加古川市,2500.0,戸建て,成約価格情報,2005年,150.0,195.0,別府町,2024年第4四半期
加古川市,930.0,戸建て,成約価格情報,1990年,105.0,140.0,別府町新野辺北町,2024年第4四半期
加古川市,2400.0,戸建て,成約価格情報,2024年,100.0,185.0,山手,2024年第4四半期
加古川市,1900.0,戸建て,成約価格情報,1991年,165.0,240.0,西条山手,2025年第1四半期
加古川市,1800.0,戸建て,成約価格情報,1996年,125.0,255.0,新神野,2025年第1四半期
加古川市,2200.0,戸建て,成約価格情報,1972年,130.0,290.0,野口町,2025年第1四半期
加古川市,1400.0,戸建て,成約価格情報,2000年,85.0,115.0,野口町,2025年第1四半期
加古川市,2400.0,戸建て,成約価格情報,2016年,95.0,105.0,野口町,2025年第1四半期
加古川市,2200.0,戸建て,成約価格情報,2020年,105.0,130.0,野口町,2025年第1四半期
加古川市,1500.0,戸建て,成約価格情報,1994年,90.0,135.0,野口町,2025年第1四半期
加古川市,190.0,戸建て,成約価格情報,1972年,60.0,75.0,野口町,2025年第1四半期
加古川市,900.0,戸建て,成約価格情報,1992年,105.0,175.0,野口町,2025年第1四半期
加古川市,2400.0,戸建て,成約価格情報,1996年,185.0,355.0,野口町,2025年第1四半期
加古川市,350.0,戸建て,成約価格情報,1973年,130.0,150.0,野口町,2025年第1四半期
加古川市,1900.0,戸建て,成約価格情報,2000年,150.0,170.0,野口町,2025年第1四半期
加古川市,480.0,戸建て,成約価格情報,1978年,80.0,90.0,野口町,2025年第1四半期
加古川市,2400.0,戸建て,成約価格情報,2005年,115.0,135.0,野口町,2025年第1四半期
加古川市,2500.0,戸建て,成約価格情報,1995年,130.0,195.0,野口町,2025年第1四半期
加古川市,1500.0,戸建て,成約価格情報,1988年,170.0,735.0,志方町,2025年第2四半期
加古川市,1700.0,戸建て,成約価格情報,2009年,95.0,205.0,志方町,2025年第2四半期
加古川市,480.0,戸建て,成約価格情報,1988年,90.0,100.0,野口町,2025年第2四半期
加古川市,2500.0,戸建て,成約価格情報,2025年,100.0,130.0,野口町,2025年第2四半期
加古川市,1200.0,戸建て,成約価格情報,1994年,110.0,135.0,野口町,2025年第2四半期
加古川市,600.0,戸建て,成約価格情報,1991年,140.0,155.0,野口町,2025年第2四半期
加古川市,3000.0,戸建て,成約価格情報,2024年,110.0,150.0,野口町,2025年第2四半期
加古川市,1500.0,戸建て,成約価格情報,1998年,120.0,130.0,野口町,2025年第2四半期
加古川市,2900.0,戸建て,成約価格情報,2025年,95.0,135.0,野口町,2025年第2四半期
加古川市,2200.0,戸建て,成約価格情報,2021年,100.0,105.0,野口町,2025年第2四半期
加古川市,4300.0,戸建て,成約価格情報,2023年,105.0,140.0,野口町,2025年第2四半期
加古川市,400.0,戸建て,成約価格情報,1983年,85.0,125.0,野口町,2025年第2四半期
加古川市,2000.0,戸建て,成約価格情報,2015年,105.0,155.0,野口町,2025年第2四半期
加古川市,500.0,戸建て,成約価格情報,1989年,90.0,115.0,野口町,2025年第2四半期
加古川市,430.0,戸建て,成約価格情報,1978年,60.0,90.0,野口町,2025年第2四半期
加古川市,420.0,戸建て,成約価格情報,1971年,85.0,115.0,新神野,2025年第3四半期
加古川市,2400.0,戸建て,成約価格情報,2025年,100.0,120.0,新神野,2025年第3四半期
加古川市,2300.0,戸建て,成約価格情報,2025年,95.0,120.0,新神野,2025年第3四半期
加古川市,2900.0,戸建て,成約価格情報,2000年,240.0,295.0,新神野,2025年第3四半期
加古川市,2200.0,戸建て,成約価格情報,2025年,100.0,115.0,野口町,2025年第3四半期
加古川市,2500.0,戸建て,成約価格情報,2025年,95.0,125.0,野口町,2025年第3四半期
加古川市,2400.0,戸建て,成約価格情報,2025年,105.0,145.0,野口町,2025年第3四半期
加古川市,2900.0,戸建て,成約価格情報,2025年,100.0,150.0,野口町,2025年第3四半期
加古川市,2700.0,戸建て,成約価格情報,2025年,100.0,150.0,野口町,2025年第3四半期
加古川市,410.0,戸建て,成約価格情報,1978年,70.0,80.0,野口町,2025年第3四半期
加古川市,2000.0,戸建て,成約価格情報,2013年,110.0,105.0,野口町,2025年第3四半期
加古川市,1700.0,戸建て,成約価格情報,2014年,100.0,140.0,野口町,2025年第3四半期
加古川市,2000.0,戸建て,成約価格情報,2024年,80.0,105.0,野口町,2025年第3四半期
加古川市,700.0,戸建て,成約価格情報,1997年,70.0,110.0,野口町,2025年第3四半期
加古川市,1700.0,戸建て,成約価格情報,1989年,95.0,165.0,野口町,2025年第3四半期
加古川市,1600.0,戸建て,成約価格情報,2009年,85.0,135.0,野口町,2025年第3四半期
加古川市,2800.0,戸建て,成約価格情報,2012年,120.0,140.0,野口町坂元北,2025年第3四半期
加古川市,2500.0,戸建て,成約価格情報,2024年,100.0,140.0,尾上町,2025年第1四半期
加古川市,2600.0,戸建て,成約価格情報,2024年,100.0,145.0,尾上町,2025年第1四半期
加古川市,1300.0,戸建て,成約価格情報,2000年,115.0,120.0,尾上町,2025年第1四半期
加古川市,700.0,戸建て,成約価格情報,1979年,90.0,100.0,尾上町,2025年第1四半期
加古川市,1600.0,戸建て,成約価格情報,1993年,125.0,150.0,尾上町,2025年第1四半期
加古川市,1500.0,戸建て,成約価格情報,2010年,95.0,115.0,尾上町,2025年第1四半期
加古川市,2500.0,戸建て,成約価格情報,2025年,110.0,155.0,尾上町,2025年第1四半期
加古川市,3200.0,戸建て,成約価格情報,2022年,100.0,145.0,尾上町,2025年第1四半期
